epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,4824.42,1.27325,1.16163,1.14941,0.56176,0.38159,0.39509,0.25221,1.31936,1.17967,1.13057,0.00011884,0.00011884,0.00011884
73,4891.08,1.26497,1.14382,1.14471,0.56496,0.38602,0.39935,0.25432,1.32492,1.16401,1.13403,0.00011488,0.00011488,0.00011488
74,4963.55,1.27913,1.15283,1.14588,0.60562,0.38577,0.407,0.26037,1.31456,1.16609,1.13052,0.00011092,0.00011092,0.00011092
75,5029.27,1.26284,1.13238,1.13713,0.59565,0.38194,0.40867,0.26247,1.31143,1.16461,1.12889,0.00010696,0.00010696,0.00010696
76,5096.03,1.2681,1.13457,1.14349,0.56578,0.40137,0.40372,0.25625,1.31343,1.1676,1.13092,0.000103,0.000103,0.000103
77,5162.85,1.27089,1.1342,1.1425,0.62955,0.38531,0.41103,0.26246,1.3119,1.16596,1.13142,9.904e-05,9.904e-05,9.904e-05
78,5232.62,1.256,1.1256,1.13934,0.55164,0.38763,0.41151,0.26186,1.31646,1.16309,1.13277,9.508e-05,9.508e-05,9.508e-05
79,5299.98,1.26171,1.12437,1.13698,0.56553,0.38093,0.40563,0.25869,1.31756,1.15976,1.12965,9.112e-05,9.112e-05,9.112e-05
80,5367.15,1.24966,1.11251,1.13544,0.57848,0.40321,0.40323,0.258,1.32034,1.16628,1.13127,8.716e-05,8.716e-05,8.716e-05
81,5434.21,1.25039,1.11193,1.13125,0.66039,0.37976,0.40876,0.25935,1.3123,1.15706,1.12793,8.32e-05,8.32e-05,8.32e-05
82,5502.6,1.25739,1.11039,1.13496,0.58617,0.38779,0.40795,0.26016,1.32683,1.15497,1.13263,7.924e-05,7.924e-05,7.924e-05
83,5571.27,1.25887,1.11357,1.13795,0.57035,0.39162,0.39751,0.25093,1.32395,1.16022,1.13014,7.528e-05,7.528e-05,7.528e-05
84,5638.98,1.25709,1.10987,1.13509,0.55986,0.40153,0.40143,0.25494,1.3245,1.16299,1.13219,7.132e-05,7.132e-05,7.132e-05
85,5706.77,1.24836,1.10115,1.13391,0.57952,0.39892,0.40105,0.25527,1.31962,1.15682,1.13164,6.736e-05,6.736e-05,6.736e-05
86,5779.02,1.23903,1.08862,1.12934,0.60674,0.38049,0.40793,0.26173,1.31661,1.15144,1.13132,6.34e-05,6.34e-05,6.34e-05
87,5847.48,1.23425,1.09098,1.12486,0.54244,0.41418,0.40663,0.25834,1.32772,1.15254,1.13352,5.944e-05,5.944e-05,5.944e-05
88,5917.83,1.23836,1.08423,1.12719,0.57789,0.40181,0.41424,0.26472,1.32253,1.14551,1.13434,5.548e-05,5.548e-05,5.548e-05
89,5985.09,1.22665,1.07848,1.12322,0.67578,0.38561,0.41515,0.26486,1.31674,1.15321,1.13185,5.152e-05,5.152e-05,5.152e-05
90,6051.82,1.2316,1.07328,1.1247,0.56697,0.39503,0.40793,0.26138,1.31223,1.14956,1.13116,4.756e-05,4.756e-05,4.756e-05
91,6141.64,1.22201,0.98641,1.11147,0.60369,0.37456,0.40273,0.2585,1.32209,1.16952,1.13664,4.36e-05,4.36e-05,4.36e-05
92,6204.79,1.21726,0.97538,1.11178,0.56235,0.39393,0.40373,0.25781,1.32638,1.16668,1.1362,3.964e-05,3.964e-05,3.964e-05
93,6269.47,1.201,0.95425,1.09926,0.55001,0.40593,0.40222,0.25749,1.31893,1.15949,1.13375,3.568e-05,3.568e-05,3.568e-05
94,6335.13,1.19522,0.95107,1.09928,0.55584,0.40654,0.40608,0.25956,1.32381,1.15544,1.13437,3.172e-05,3.172e-05,3.172e-05
95,6400.57,1.19435,0.94852,1.09784,0.5661,0.41567,0.41095,0.26267,1.32747,1.15464,1.1366,2.776e-05,2.776e-05,2.776e-05
96,6468.87,1.19142,0.93891,1.09784,0.57284,0.4117,0.41199,0.26293,1.3194,1.15529,1.13409,2.38e-05,2.38e-05,2.38e-05
97,6534.83,1.18166,0.93083,1.0939,0.56786,0.40818,0.41143,0.26298,1.31801,1.15283,1.13265,1.984e-05,1.984e-05,1.984e-05
98,6600.77,1.18257,0.93667,1.0944,0.57318,0.40628,0.4076,0.26246,1.31487,1.15314,1.13181,1.588e-05,1.588e-05,1.588e-05
99,6666.68,1.17833,0.92724,1.08978,0.56497,0.41159,0.41009,0.26332,1.31924,1.1537,1.13304,1.192e-05,1.192e-05,1.192e-05
100,6733.32,1.18251,0.93104,1.09085,0.55573,0.40986,0.40998,0.26361,1.31995,1.15261,1.13307,7.96e-06,7.96e-06,7.96e-06
